origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
WHOLE_SALE,9,blue_light,L,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,M,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,S,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,green,L,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,green,M,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,green,S,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,L,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,M,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,S,freetime,,crepe,,straight,,,other,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,L,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,M,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,S,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow,L,freetime,,synthetic,,straight,,,floral,boho,tops,warm,2,False,
